page_id,cluster_id,cutoff_week,content_age_days,word_count,internal_inlinks,serp_feature_count,current_avg_position,current_impressions,current_clicks,current_ctr,avg_dwell_sec,estimated_bounce_rate,click_velocity_2w,click_trend_4w,pos_velocity_4w,ctr_ratio_to_expected,past_4w_impressions_mean,past_4w_position_std,future_click_drop_ratio,target_opportunity_decay
anon_page_0000,cluster_00,4,648,795,1,2,5.66,23860,2098,0.0879,88,0.65,-0.21978430643361846,-0.36289098086850896,0.9500000000000002,1.2786791593837266,28016.5,0.3708436328157733,0.057366599890730285,0
anon_page_0000,cluster_00,5,655,795,1,1,6.49,29972,2546,0.0849,109,0.671,0.21353670162059105,-0.12267401791867677,1.4400000000000004,1.3873767998145814,27796.0,0.5227332015474052,0.06819736199316072,0
anon_page_0000,cluster_00,6,662,795,1,0,7.3,35678,2948,0.0826,180,0.616,0.15789473684210525,0.09631833395314243,1.8199999999999994,1.4917059558093748,29484.5,0.7245472724398317,0.1362707907791071,0
anon_page_0000,cluster_00,7,669,795,1,0,7.52,31761,2434,0.0766,115,0.575,-0.17435549525101765,0.1601525262154433,1.8599999999999994,1.418706894930006,30317.75,0.7332930860167711,0.2116497107520447,1
anon_page_0000,cluster_00,8,676,795,1,1,8.06,33194,2424,0.073,60,0.712,-0.004108463434675432,-0.047918303220738416,1.5700000000000003,1.434122966979784,32651.25,0.5645518133882842,0.3250579598145286,1
anon_page_0000,cluster_00,9,683,795,1,3,8.1,26308,1731,0.0658,122,0.712,-0.28589108910891087,-0.41282225237449116,0.7999999999999998,1.29812616890168,31735.25,0.3442019755899145,0.29736814511901016,1
anon_page_0000,cluster_00,10,690,795,1,3,9.08,34832,2291,0.0658,103,0.7,0.32351242056614676,-0.05875102711585867,1.5600000000000005,1.4304662318557306,31523.75,0.5625833271614084,0.30844594594594593,1
anon_page_0000,cluster_00,11,697,795,1,2,8.96,25424,1458,0.0573,69,0.637,-0.36359668267132256,-0.39851485148514854,0.9000000000000004,1.2316723031203207,29939.5,0.4721228653645152,0.2229251012145749,1
anon_page_0001,cluster_01,4,438,829,22,0,7.48,4191,309,0.0737,148,0.771,-0.41030534351145037,1.7345132743362832,1.37,1.3588220676662732,4545.25,0.855785457927394,0.06530898876404495,0
anon_page_0001,cluster_01,5,445,829,22,2,7.52,4066,295,0.0726,178,0.732,-0.045307443365695796,-0.38284518828451886,-0.5199999999999996,1.3446229839676034,5155.75,0.36121323342314005,0.15877957658779576,0
